============================================================
Downloading Complete Jastrow Dictionary from Sefaria
Using sequential traversal via "next" links
============================================================

Starting from: Jastrow, א
[32.0%] #9609: "Jastrow, יֵאוּתָא"... OK (יאותא)
[32.0%] #9610: "Jastrow, יָאֵי"... OK (יאי)
[32.0%] #9611: "Jastrow, יָאֲיוּתָא"... OK (יאיותא)
[32.0%] #9612: "Jastrow, יָאיָיא"... OK (יאייא)
[32.0%] #9613: "Jastrow, יָאִיר"... OK (יאיר)
[32.0%] #9614: "Jastrow, יָאֲיָתָא"... OK (יאיתא)
[32.0%] #9615: "Jastrow, יָאַל"... OK (יאל)
[32.0%] #9616: "Jastrow, יאנא"... OK (יאנא)
[32.1%] #9617: "Jastrow, יָאנִיבָא"... OK (יאניבא)
[32.1%] #9618: "Jastrow, יָאסְיָן"... OK (יאסין)
[32.1%] #9619: "Jastrow, יָארוֹד"... OK (יארוד)
[32.1%] #9620: "Jastrow, יָאַשׁ"... OK (יאש)
[32.1%] #9621: "Jastrow, יְאַשׁ"... duplicate
[32.1%] #9621: "Jastrow, יֹאשִׁיָּה"... OK (יאשיה)
[32.1%] #9622: "Jastrow, יָאֲתָא"... OK (יאתא)
[32.1%] #9623: "Jastrow, יַב"... OK (יב)
[32.1%] #9624: "Jastrow, יֵבָא"... OK (יבא)
[32.1%] #9625: "Jastrow, יָבַב"... OK (יבב)
[32.1%] #9626: "Jastrow, יְבַב"... duplicate
[32.1%] #9626: "Jastrow, יבבא"... OK (יבבא)
[32.1%] #9627: "Jastrow, יַבָּבָא"... duplicate
[32.1%] #9627: "Jastrow, יַבָּבָה"... OK (יבבה)
[32.1%] #9628: "Jastrow, יַבָּבוּתָא"... OK (יבבותא)
[32.1%] #9629: "Jastrow, יבבי"... OK (יבבי)
[32.1%] #9630: "Jastrow, יַבַּבְתָּא"... OK (יבבתא)
[32.1%] #9631: "Jastrow, יְבַד"... OK (יבד)
[32.1%] #9632: "Jastrow, יְבוּל"... OK (יבול)
[32.1%] #9633: "Jastrow, יִבּוּם"... OK (יבום)
[32.1%] #9634: "Jastrow, יַבּוֹלֶת"... OK (יבולת)
[32.1%] #9635: "Jastrow, יַבְחוּשׁ"... OK (יבחוש)
[32.1%] #9636: "Jastrow, יְבִימָא"... OK (יבימא)
[32.1%] #9637: "Jastrow, יְבִימְתָּא"... OK (יבימתא)
[32.1%] #9638: "Jastrow, יְבֵישּׁ"... OK (יביש)
[32.1%] #9639: "Jastrow, יַבִּישׁ"... duplicate
[32.1%] #9639: "Jastrow, יְבֵישָׁה"... OK (יבישה)
[32.1%] #9640: "Jastrow, יַבִּישְׁתָּא"... OK (יבישתא)
[32.1%] #9641: "Jastrow, יָבַל I"... OK (יבל)
[32.1%] #9642: "Jastrow, יְבַל"... duplicate
[32.1%] #9642: "Jastrow, יָבַל II"... duplicate
[32.1%] #9642: "Jastrow, יִבְלָא I"... OK (יבלא)
[32.1%] #9643: "Jastrow, *יִבְלָא II"... duplicate
[32.1%] #9643: "Jastrow, יַבְלָא"... duplicate
[32.1%] #9643: "Jastrow, יבלונה"... OK (יבלונה)
[32.1%] #9644: "Jastrow, יַבְלִית"... OK (יבלית)
[32.1%] #9645: "Jastrow, יַבְּלָן"... OK (יבלן)
[32.1%] #9646: "Jastrow, יַבֶּלֶת"... OK (יבלת)
[32.2%] #9647: "Jastrow, יָבָם"... OK (יבם)
[32.2%] #9648: "Jastrow, יִבֵּם"... duplicate
[32.2%] #9648: "Jastrow, יַבֵּם"... duplicate
[32.2%] #9648: "Jastrow, יָבָם ²"... duplicate
[32.2%] #9648: "Jastrow, יְבָמָה"... OK (יבמה)
[32.2%] #9649: "Jastrow, יַבָּמוּת"... OK (יבמות)
[32.2%] #9650: "Jastrow, יְבַמְתָּא"... OK (יבמתא)
[32.2%] #9651: "Jastrow, יַבְנֶה"... OK (יבנה)
[32.2%] #9652: "Jastrow, יַבְּקָא"... OK (יבקא)
[32.2%] #9653: "Jastrow, יַבְרוּחַ"... OK (יברוח)
[32.2%] #9654: "Jastrow, יַבְרוּחָא"... OK (יברוחא)
[32.2%] #9655: "Jastrow, יָבֵשׁ I"... OK (יבש)
[32.2%] #9656: "Jastrow, יָבֵשׁ"... duplicate
[32.2%] #9656: "Jastrow, יָבֵשׁ II"... duplicate
[32.2%] #9656: "Jastrow, יְבֵשׁ"... duplicate
[32.2%] #9656: "Jastrow, יַבָּשָׁה"... OK (יבשה)
[32.2%] #9657: "Jastrow, יַבֶּשֶׁת"... OK (יבשת)
[32.2%] #9658: "Jastrow, יַבַּשְׁתָּא"... OK (יבשתא)
[32.2%] #9659: "Jastrow, יגא"... OK (יגא)
[32.2%] #9660: "Jastrow, יַגְדִּי"... OK (יגדי)
[32.2%] #9661: "Jastrow, יָגָה"... OK (יגה)
[32.2%] #9662: "Jastrow, יגוד"... OK (יגוד)
[32.2%] #9663: "Jastrow, יְגוּדְיָא"... OK (יגודיא)
[32.2%] #9664: "Jastrow, יָגוֹן"... OK (יגון)
[32.2%] #9665: "Jastrow, יְגוֹר"... OK (יגור)
[32.2%] #9666: "Jastrow, יגי"ל"... OK (יגיל)
[32.2%] #9667: "Jastrow, יָגֵיעַ"... OK (יגיע)
[32.2%] #9668: "Jastrow, יְגִיעַ"... duplicate
[32.2%] #9668: "Jastrow, יְגִיעָה"... OK (יגיעה)
[32.2%] #9669: "Jastrow, יג"ל"... OK (יגל)
[32.2%] #9670: "Jastrow, יָגַע"... OK (יגע)
[32.2%] #9671: "Jastrow, יָגֵעַ"... duplicate
[32.2%] #9671: "Jastrow, יָגָע"... duplicate
[32.2%] #9671: "Jastrow, יְגָר"... OK (יגר)
[32.2%] #9672: "Jastrow, יַגְרִי"... OK (יגרי)
[32.2%] #9673: "Jastrow, יָד"... OK (יד)
[32.2%] #9674: "Jastrow, יַד"... duplicate
[32.2%] #9674: "Jastrow, *יְדַד"... OK (ידד)
  [Saved progress: 9674 entries]
[32.2%] #9675: "Jastrow, יָדָה"... OK (ידה)
[32.3%] #9676: "Jastrow, יַדּוּעַ"... OK (ידוע)
[32.3%] #9677: "Jastrow, יִדּוֹעַ"... duplicate
[32.3%] #9677: "Jastrow, יָדוּעַ"... duplicate
[32.3%] #9677: "Jastrow, ידי"... OK (ידי)
[32.3%] #9678: "Jastrow, יְדִי"... duplicate
[32.3%] #9678: "Jastrow, יָדִיד"... OK (ידיד)
[32.3%] #9679: "Jastrow, יְדִידוּת"... OK (ידידות)
[32.3%] #9680: "Jastrow, יְדִיעָה"... OK (ידיעה)
[32.3%] #9681: "Jastrow, יְדִיעֲתָא"... OK (ידיעתא)
[32.3%] #9682: "Jastrow, יָדַע"... OK (ידע)
[32.3%] #9683: "Jastrow, יְדַע"... duplicate
[32.3%] #9683: "Jastrow, יִדְעוֹנִי"... OK (ידעוני)
[32.3%] #9684: "Jastrow, יְדַעְיָה"... OK (ידעיה)
[32.3%] #9685: "Jastrow, יָדְפָת"... OK (ידפת)
[32.3%] #9686: "Jastrow, יָדְקֶרֶת"... OK (ידקרת)
[32.3%] #9687: "Jastrow, יָהּ"... OK (יה)
[32.3%] #9688: "Jastrow, יָהּ II"... duplicate
[32.3%] #9688: "Jastrow, יְהַב"... OK (יהב)
[32.3%] #9689: "Jastrow, יְהָבָא"... OK (יהבא)
[32.3%] #9690: "Jastrow, יְהָבִית"... OK (יהבית)
[32.3%] #9691: "Jastrow, יַהֲדוּת"... OK (יהדות)
[32.3%] #9692: "Jastrow, יֵהוּא"... OK (יהוא)
[32.3%] #9693: "Jastrow, יְהוּד"... OK (יהוד)
[32.3%] #9694: "Jastrow, יְהוּדָא"... OK (יהודא)
[32.3%] #9695: "Jastrow, יְהוּדָאָה"... OK (יהודאה)
[32.3%] #9696: "Jastrow, *יְהוּדָאִיקִי"... OK (יהודאיקי)
[32.3%] #9697: "Jastrow, יְהוּדָאִית"... OK (יהודאית)
[32.3%] #9698: "Jastrow, יְהוּדָה"... OK (יהודה)
[32.3%] #9699: "Jastrow, יְהוּדִי"... OK (יהודי)
[32.3%] #9700: "Jastrow, יְהוּדִיָּה"... OK (יהודיה)
[32.3%] #9701: "Jastrow, *יְהוּדִינְיִי"... OK (יהודיניי)
[32.3%] #9702: "Jastrow, יְהוּדִית"... OK (יהודית)
[32.3%] #9703: "Jastrow, יהודת"... OK (יהודת)
[32.3%] #9704: "Jastrow, יְהוֹיָדָע"... OK (יהוידע)
[32.3%] #9705: "Jastrow, יְהוֹיָקִים"... OK (יהויקים)
[32.4%] #9706: "Jastrow, יְהוֹיָרִיב"... OK (יהויריב)
[32.4%] #9707: "Jastrow, יְהוֹנָתָן"... OK (יהונתן)
[32.4%] #9708: "Jastrow, יְהוֹרָם"... OK (יהורם)
[32.4%] #9709: "Jastrow, יְהוֹשׁוּעַ"... OK (יהושוע)
[32.4%] #9710: "Jastrow, יְהוֹשַׁעְיָא"... OK (יהושעיא)
[32.4%] #9711: "Jastrow, יְהוֹשָׁפָט"... OK (יהושפט)
[32.4%] #9712: "Jastrow, יהט"... OK (יהט)
[32.4%] #9713: "Jastrow, יְהִי"... OK (יהי)
[32.4%] #9714: "Jastrow, יָהִיר"... OK (יהיר)
[32.4%] #9715: "Jastrow, יָהִיר ²"... duplicate
[32.4%] #9715: "Jastrow, יְהִירוּתָא"... OK (יהירותא)
[32.4%] #9716: "Jastrow, יָהִר"... OK (יהר)
[32.4%] #9717: "Jastrow, יָהַר"... duplicate
[32.4%] #9717: "Jastrow, יְהַר"... duplicate
[32.4%] #9717: "Jastrow, יוֹאָב"... OK (יואב)
[32.4%] #9718: "Jastrow, יוֹאֵל"... OK (יואל)
[32.4%] #9719: "Jastrow, יואני"... OK (יואני)
[32.4%] #9720: "Jastrow, יוֹאָשׁ"... OK (יואש)
[32.4%] #9721: "Jastrow, יוּבְדָּנָא"... OK (יובדנא)
[32.4%] #9722: "Jastrow, יוֹבֵילָא"... OK (יובילא)
[32.4%] #9723: "Jastrow, יוֹבֵל"... OK (יובל)
[32.4%] #9724: "Jastrow, יוּבְלָא"... OK (יובלא)
[32.4%] #9725: "Jastrow, יוֹבֶלֶת"... OK (יובלת)
[32.4%] #9726: "Jastrow, יוּבְּקָא"... OK (יובקא)
[32.4%] #9727: "Jastrow, יוֹבֶשׁ"... OK (יובש)
[32.4%] #9728: "Jastrow, יוֹבְשָׁנִי"... OK (יובשני)
[32.4%] #9729: "Jastrow, יו"ד"... OK (יוד)
[32.4%] #9730: "Jastrow, יוּד"... duplicate
[32.4%] #9730: "Jastrow, יוּדָא"... OK (יודא)
[32.4%] #9731: "Jastrow, *יוּדַאי"... OK (יודאי)
[32.4%] #9732: "Jastrow, יודאפא"... OK (יודאפא)
[32.4%] #9733: "Jastrow, יוּדָה"... OK (יודה)
[32.4%] #9734: "Jastrow, יודייה"... OK (יודייה)
[32.4%] #9735: "Jastrow, יודיקי"... OK (יודיקי)
[32.5%] #9736: "Jastrow, יוּדָן"... OK (יודן)
[32.5%] #9737: "Jastrow, יוּדֵן"... duplicate
[32.5%] #9737: "Jastrow, יוּדָנָה"... OK (יודנה)
[32.5%] #9738: "Jastrow, יוֹדְפָאָה"... OK (יודפאה)
[32.5%] #9739: "Jastrow, יוֹדְפָת"... OK (יודפת)
[32.5%] #9740: "Jastrow, יודקו"... OK (יודקו)
[32.5%] #9741: "Jastrow, יוֹדְקֶרֶת"... OK (יודקרת)
[32.5%] #9742: "Jastrow, יוֹהֲרָא"... OK (יוהרא)
[32.5%] #9743: "Jastrow, יָוָון"... OK (יוון)
[32.5%] #9744: "Jastrow, יוֹזִיף"... OK (יוזיף)
[32.5%] #9745: "Jastrow, יוֹחַאי"... OK (יוחאי)
[32.5%] #9746: "Jastrow, יוֹחָנָא I"... OK (יוחנא)
[32.5%] #9747: "Jastrow, יוֹחָנָא II"... duplicate
[32.5%] #9747: "Jastrow, יוֹחָנִי"... OK (יוחני)
[32.5%] #9748: "Jastrow, יוֹחָנָן"... OK (יוחנן)
[32.5%] #9749: "Jastrow, יוֹחָס"... OK (יוחס)
[32.5%] #9750: "Jastrow, יוֹכֶבֶד"... OK (יוכבד)
[32.5%] #9751: "Jastrow, יוּכְלָא"... OK (יוכלא)
[32.5%] #9752: "Jastrow, יוֹכָנִי"... OK (יוכני)
[32.5%] #9753: "Jastrow, יָוַל"... OK (יול)
[32.5%] #9754: "Jastrow, יוּלָּד"... OK (יולד)
[32.5%] #9755: "Jastrow, יוֹלֵד"... duplicate
[32.5%] #9755: "Jastrow, יוֹלֵדָה"... OK (יולדה)
[32.5%] #9756: "Jastrow, יוֹלַדְתָּא"... OK (יולדתא)
[32.5%] #9757: "Jastrow, יוֹלֵיד"... OK (יוליד)
[32.5%] #9758: "Jastrow, *יוֹלִימְנָא"... OK (יולימנא)
[32.5%] #9759: "Jastrow, יולין"... OK (יולין)
[32.5%] #9760: "Jastrow, יוּלְפָנָא"... OK (יולפנא)
[32.5%] #9761: "Jastrow, יוֹם"... OK (יום)
[32.5%] #9762: "Jastrow, יוֹם ²"... duplicate
  [Saved progress: 9761 entries]
[32.5%] #9762: "Jastrow, יוֹמָחְרָא"... OK (יומחרא)
[32.5%] #9763: "Jastrow, יוֹמָנָא"... OK (יומנא)
[32.5%] #9764: "Jastrow, יָוֵן"... OK (יון)
[32.5%] #9765: "Jastrow, יָוָן"... duplicate
[32.5%] #9765: "Jastrow, יוֹן"... duplicate
[32.5%] #9765: "Jastrow, יְוָנָאָה"... OK (יונאה)
[32.6%] #9766: "Jastrow, יוֹנָה I"... OK (יונה)
[32.6%] #9767: "Jastrow, יוֹנָה II"... duplicate
[32.6%] #9767: "Jastrow, יונוס"... OK (יונוס)
[32.6%] #9768: "Jastrow, יְוֵנִי"... OK (יוני)
[32.6%] #9769: "Jastrow, יְוָנִי"... duplicate
[32.6%] #9769: "Jastrow, *יוֹנָס"... OK (יונס)
[32.6%] #9770: "Jastrow, יוֹנֵק"... OK (יונק)
[32.6%] #9771: "Jastrow, יוֹנְקָא"... OK (יונקא)
[32.6%] #9772: "Jastrow, יוֹנֶקֶת"... OK (יונקת)
[32.6%] #9773: "Jastrow, יוֹנְתָא"... OK (יונתא)
[32.6%] #9774: "Jastrow, יוֹנָתָן"... OK (יונתן)
[32.6%] #9775: "Jastrow, יוֹסָא"... OK (יוסא)
[32.6%] #9776: "Jastrow, יוּסְטָא"... OK (יוסטא)
[32.6%] #9777: "Jastrow, יוּסְטִינָה"... OK (יוסטינה)
[32.6%] #9778: "Jastrow, יוסטתה"... OK (יוסטתה)
[32.6%] #9779: "Jastrow, יוֹסֵי"... OK (יוסי)
[32.6%] #9780: "Jastrow, יוֹסִינָא"... OK (יוסינא)
[32.6%] #9781: "Jastrow, יוֹסֵף"... OK (יוסף)
[32.6%] #9782: "Jastrow, יוסתיניא"... OK (יוסתיניא)
[32.6%] #9783: "Jastrow, יוֹעֶזֶר"... OK (יועזר)
[32.6%] #9784: "Jastrow, יוֹפִי"... OK (יופי)
[32.6%] #9785: "Jastrow, יוֹפִיאֵל"... OK (יופיאל)
[32.6%] #9786: "Jastrow, יוֹפְיוּת"... OK (יופיות)
[32.6%] #9787: "Jastrow, יוֹצְאָנִית"... OK (יוצאנית)
[32.6%] #9788: "Jastrow, יוֹצֵאת"... OK (יוצאת)
[32.6%] #9789: "Jastrow, יוּצְפָּא"... OK (יוצפא)
[32.6%] #9790: "Jastrow, יוֹצֵר"... OK (יוצר)
[32.6%] #9791: "Jastrow, יוצרה"... OK (יוצרה)
[32.6%] #9792: "Jastrow, יוֹקֵידְתָּא"... OK (יוקידתא)
[32.6%] #9793: "Jastrow, יוֹקְיָנוֹס"... OK (יוקינוס)
[32.6%] #9794: "Jastrow, יוקפא"... OK (יוקפא)
[32.6%] #9795: "Jastrow, יוֹקֶר"... OK (יוקר)
[32.6%] #9796: "Jastrow, יוֹקְרָא"... OK (יוקרא)
[32.7%] #9797: "Jastrow, יוֹקֶרֶת"... OK (יוקרת)
[32.7%] #9798: "Jastrow, יורדא"... OK (יורדא)
[32.7%] #9799: "Jastrow, יוֹרְדְּנָא"... OK (יורדנא)
[32.7%] #9800: "Jastrow, יוֹרֶדֶת"... OK (יורדת)
[32.7%] #9801: "Jastrow, יוֹרֶה I"... OK (יורה)
[32.7%] #9802: "Jastrow, יוֹרֶה II"... duplicate
[32.7%] #9802: "Jastrow, יורית"... OK (יורית)
[32.7%] #9803: "Jastrow, יורכין"... OK (יורכין)
[32.7%] #9804: "Jastrow, יוֹרָם"... OK (יורם)
[32.7%] #9805: "Jastrow, יורם"... duplicate
[32.7%] #9805: "Jastrow, יוּרְקָא"... OK (יורקא)
[32.7%] #9806: "Jastrow, *יוּרְקָמִי"... OK (יורקמי)
[32.7%] #9807: "Jastrow, יוּרְקָנָא"... OK (יורקנא)
[32.7%] #9808: "Jastrow, יוֹרֵשׁ"... OK (יורש)
[32.7%] #9809: "Jastrow, יוֹשֶׁן"... OK (יושן)
[32.7%] #9810: "Jastrow, יוֹשֶׁר"... OK (יושר)
[32.7%] #9811: "Jastrow, יוֹתָא"... OK (יותא)
[32.7%] #9812: "Jastrow, יוֹתָם"... OK (יותם)
[32.7%] #9813: "Jastrow, יוּתָּן"... OK (יותן)
[32.7%] #9814: "Jastrow, יוֹתְפָאָה"... OK (יותפאה)
[32.7%] #9815: "Jastrow, יוֹתֵר"... OK (יותר)
[32.7%] #9816: "Jastrow, יוֹתִר"... duplicate
[32.7%] #9816: "Jastrow, יוּתְרָן"... OK (יותרן)
[32.7%] #9817: "Jastrow, יוֹתֶרֶת"... OK (יותרת)
[32.7%] #9818: "Jastrow, יְזוּפְתָּא"... OK (יזופתא)
[32.7%] #9819: "Jastrow, יְזִיף"... OK (יזיף)
[32.7%] #9820: "Jastrow, יָזַן"... OK (יזן)
[32.7%] #9821: "Jastrow, יָזַע"... OK (יזע)
[32.7%] #9822: "Jastrow, *יָזַף"... OK (יזף)
[32.7%] #9823: "Jastrow, יִזַף"... duplicate
[32.7%] #9823: "Jastrow, יַזְפָא"... OK (יזפא)
[32.7%] #9824: "Jastrow, יָזֵק"... OK (יזק)
[32.7%] #9825: "Jastrow, יְחָא"... OK (יחא)
[32.8%] #9826: "Jastrow, יָחַד"... OK (יחד)
[32.8%] #9827: "Jastrow, יְחַד"... duplicate
[32.8%] #9827: "Jastrow, יִחוּד"... OK (יחוד)
[32.8%] #9828: "Jastrow, יִחוּד ²"... duplicate
[32.8%] #9828: "Jastrow, יִחוּל"... OK (יחול)
[32.8%] #9829: "Jastrow, יִחוּס"... OK (יחוס)
[32.8%] #9830: "Jastrow, יֵחוּס"... duplicate
[32.8%] #9830: "Jastrow, יְחוּסָא"... OK (יחוסא)
[32.8%] #9831: "Jastrow, יִחוּף"... OK (יחוף)
[32.8%] #9832: "Jastrow, יָחוֹפָה"... OK (יחופה)
[32.8%] #9833: "Jastrow, יִחוּר"... OK (יחור)
[32.8%] #9834: "Jastrow, יְחֶזְקֵאל"... OK (יחזקאל)
[32.8%] #9835: "Jastrow, יָחַט"... OK (יחט)
[32.8%] #9836: "Jastrow, יְחַט"... duplicate
[32.8%] #9836: "Jastrow, יַחֲטָא"... OK (יחטא)
[32.8%] #9837: "Jastrow, יְחִי"... OK (יחי)
[32.8%] #9838: "Jastrow, יָחִיד"... OK (יחיד)
[32.8%] #9839: "Jastrow, יָחִיד ²"... duplicate
[32.8%] #9839: "Jastrow, יְחִידָאָה"... OK (יחידאה)
[32.8%] #9840: "Jastrow, יְחִידִי"... OK (יחידי)
[32.8%] #9841: "Jastrow, יְחִידִי ²"... duplicate
[32.8%] #9841: "Jastrow, יְחִידְתָּא"... OK (יחידתא)
[32.8%] #9842: "Jastrow, יחֵיף"... OK (יחיף)
[32.8%] #9843: "Jastrow, יְחֵיפָה"... OK (יחיפה)
[32.8%] #9844: "Jastrow, *יַחְכִּים"... OK (יחכים)
[32.8%] #9845: "Jastrow, יָחַל"... OK (יחל)
[32.8%] #9846: "Jastrow, *יָחַם"... OK (יחם)
[32.8%] #9847: "Jastrow, יְחַם"... duplicate
  [Saved progress: 9846 entries]
[32.8%] #9847: "Jastrow, *יַחֲמָא"... OK (יחמא)
[32.8%] #9848: "Jastrow, יַחְמוּר"... OK (יחמור)
[32.8%] #9849: "Jastrow, יַחְמוּרָא"... OK (יחמורא)
[32.8%] #9850: "Jastrow, יַחַן"... OK (יחן)
[32.8%] #9851: "Jastrow, יַחְנוּן"... OK (יחנון)
[32.8%] #9852: "Jastrow, יָחַס"... OK (יחס)
[32.8%] #9853: "Jastrow, יְחַס"... duplicate
[32.8%] #9853: "Jastrow, יַחַס"... duplicate
[32.8%] #9853: "Jastrow, יַחֲסוּתָא"... OK (יחסותא)
[32.8%] #9854: "Jastrow, יָחֵף I"... OK (יחף)
[32.8%] #9855: "Jastrow, יָחֵף"... duplicate
[32.8%] #9855: "Jastrow, יָחֵף II"... duplicate
[32.8%] #9855: "Jastrow, יְחֵף"... duplicate
[32.8%] #9855: "Jastrow, יַחַף"... duplicate
[32.8%] #9855: "Jastrow, יְטָא"... OK (יטא)
[32.9%] #9856: "Jastrow, יָטַב"... OK (יטב)
[32.9%] #9857: "Jastrow, יְטַב"... duplicate
[32.9%] #9857: "Jastrow, יָטְבַת"... OK (יטבת)
[32.9%] #9858: "Jastrow, *יְטוּר I"... OK (יטור)
[32.9%] #9859: "Jastrow, יְטוּר II"... duplicate
[32.9%] #9859: "Jastrow, יְטִי"... OK (יטי)
[32.9%] #9860: "Jastrow, יטסם"... OK (יטסם)
[32.9%] #9861: "Jastrow, יט"ת"... OK (יטת)
[32.9%] #9862: "Jastrow, יֳי"... OK (יי)
[32.9%] #9863: "Jastrow, יִי"... duplicate
[32.9%] #9863: "Jastrow, ַיי"... duplicate
[32.9%] #9863: "Jastrow, יְיָא"... OK (ייא)
[32.9%] #9864: "Jastrow, יֵיא"... duplicate
[32.9%] #9864: "Jastrow, יָיָא"... duplicate
[32.9%] #9864: "Jastrow, יֵיבָא"... OK (ייבא)
[32.9%] #9865: "Jastrow, יֵיאבָךְ"... OK (ייאבך)
[32.9%] #9866: "Jastrow, ַיְידָא"... OK (יידא)
[32.9%] #9867: "Jastrow, יִיח־"... OK (ייח)
[32.9%] #9868: "Jastrow, יְיטוּר"... OK (ייטור)
[32.9%] #9869: "Jastrow, ייכא"... OK (ייכא)
[32.9%] #9870: "Jastrow, יָילָא"... OK (יילא)
[32.9%] #9871: "Jastrow, יילעו"... OK (יילעו)
[32.9%] #9872: "Jastrow, יֵימִים"... OK (יימים)
[32.9%] #9873: "Jastrow, יֵימַר"... OK (יימר)
[32.9%] #9874: "Jastrow, יַיִן"... OK (יין)
[32.9%] #9875: "Jastrow, יָינוּבְרִיס"... OK (יינובריס)
[32.9%] #9876: "Jastrow, יִינוֹמְלִים"... OK (יינומלים)
[32.9%] #9877: "Jastrow, יִינוּן"... OK (יינון)
[32.9%] #9878: "Jastrow, יינס"... OK (יינס)
[32.9%] #9879: "Jastrow, ייס"... OK (ייס)
[32.9%] #9880: "Jastrow, יִיסּוּר"... OK (ייסור)
[32.9%] #9881: "Jastrow, *ייסי"... OK (ייסי)
[32.9%] #9882: "Jastrow, יָיעָא"... OK (ייעא)
[32.9%] #9883: "Jastrow, יִיעוּד"... OK (ייעוד)
[32.9%] #9884: "Jastrow, יִיצְפָּא"... OK (ייצפא)
[32.9%] #9885: "Jastrow, יָיקִינְטִין"... OK (ייקינטין)
[33.0%] #9886: "Jastrow, יירינון"... OK (יירינון)
[33.0%] #9887: "Jastrow, יִירָךְ"... OK (יירך)
[33.0%] #9888: "Jastrow, יַירְעִין"... OK (יירעין)
[33.0%] #9889: "Jastrow, יִישּׁוּב"... OK (יישוב)
[33.0%] #9890: "Jastrow, יֵישׁוּעַ"... OK (יישוע)
[33.0%] #9891: "Jastrow, יִישַׁר"... OK (יישר)
[33.0%] #9892: "Jastrow, יִיתּוּר"... OK (ייתור)
[33.0%] #9893: "Jastrow, יַיתֵי"... OK (ייתי)
[33.0%] #9894: "Jastrow, יַיתִּיךְ"... OK (ייתיך)
[33.0%] #9895: "Jastrow, יִיתַּם"... OK (ייתם)
[33.0%] #9896: "Jastrow, יָכוֹל"... OK (יכול)
[33.0%] #9897: "Jastrow, יְכוֹלְנִי"... OK (יכולני)
[33.0%] #9898: "Jastrow, יכולני"... duplicate
[33.0%] #9898: "Jastrow, יְכוֹלֶת"... OK (יכולת)
[33.0%] #9899: "Jastrow, יְכוּלְתָּא"... OK (יכולתא)
[33.0%] #9900: "Jastrow, יָכַח"... OK (יכח)
[33.0%] #9901: "Jastrow, יְכִיל"... OK (יכיל)
[33.0%] #9902: "Jastrow, יָכֹל"... OK (יכל)
[33.0%] #9903: "Jastrow, יכרותה"... OK (יכרותה)
[33.0%] #9904: "Jastrow, יָלָא"... OK (ילא)
[33.0%] #9905: "Jastrow, יָלַד"... OK (ילד)
[33.0%] #9906: "Jastrow, יְלֵד"... duplicate
[33.0%] #9906: "Jastrow, יֶלֶד"... duplicate
[33.0%] #9906: "Jastrow, יַלְדּוּת"... OK (ילדות)
[33.0%] #9907: "Jastrow, יַלְדּוּתָא"... OK (ילדותא)
[33.0%] #9908: "Jastrow, יַלָּדוּתָא"... duplicate
[33.0%] #9908: "Jastrow, יְלַדְתָּא"... OK (ילדתא)
[33.0%] #9909: "Jastrow, יַלִּדְתָּא"... duplicate
[33.0%] #9909: "Jastrow, יָלוּד"... OK (ילוד)
[33.0%] #9910: "Jastrow, יָלוּד ²"... duplicate
[33.0%] #9910: "Jastrow, יִלּוֹד"... duplicate
[33.0%] #9910: "Jastrow, יַלּוֹלָא"... OK (ילולא)
[33.0%] #9911: "Jastrow, יְלֵיד"... OK (יליד)
[33.0%] #9912: "Jastrow, יָלִיד"... duplicate
[33.0%] #9912: "Jastrow, יְלִיד"... duplicate
[33.0%] #9912: "Jastrow, יָלֵידְתָּא"... OK (ילידתא)
[33.0%] #9913: "Jastrow, יַלֵּיל"... OK (יליל)
[33.0%] #9914: "Jastrow, יָלֵיל"... duplicate
[33.0%] #9914: "Jastrow, יְלִילָא"... OK (ילילא)
[33.0%] #9915: "Jastrow, יְלֵילָא"... duplicate
[33.0%] #9915: "Jastrow, יִלֵּין"... OK (ילין)
[33.1%] #9916: "Jastrow, יְלֵיף"... OK (יליף)
[33.1%] #9917: "Jastrow, יָלַךְ"... OK (ילך)
[33.1%] #9918: "Jastrow, יָלַל I"... OK (ילל)
[33.1%] #9919: "Jastrow, יָלַל II"... duplicate
[33.1%] #9919: "Jastrow, יְלֵל"... duplicate
[33.1%] #9919: "Jastrow, יְלָלָא"... OK (יללא)
[33.1%] #9920: "Jastrow, יְלָלָה"... OK (יללה)
[33.1%] #9921: "Jastrow, יְלַלְתָּא"... OK (יללתא)
  [Saved progress: 9921 entries]
[33.1%] #9922: "Jastrow, *ילע"... OK (ילע)
[33.1%] #9923: "Jastrow, יְלֵף"... OK (ילף)
[33.1%] #9924: "Jastrow, יִלְפָא"... OK (ילפא)
[33.1%] #9925: "Jastrow, יַלֶּפֶת"... OK (ילפת)
[33.1%] #9926: "Jastrow, יֶלֶק"... OK (ילק)
[33.1%] #9927: "Jastrow, ילקן"... OK (ילקן)
[33.1%] #9928: "Jastrow, יַלְתָּא"... OK (ילתא)
[33.1%] #9929: "Jastrow, יָם"... OK (ים)
[33.1%] #9930: "Jastrow, יַמָּא"... OK (ימא)
[33.1%] #9931: "Jastrow, יַמְבְּרִיס"... OK (ימבריס)
[33.1%] #9932: "Jastrow, יַמָּה"... OK (ימה)
[33.1%] #9933: "Jastrow, יְמוֹת"... OK (ימות)
[33.1%] #9934: "Jastrow, יַמֵּי"... OK (ימי)
[33.1%] #9935: "Jastrow, יְמֵי"... duplicate
[33.1%] #9935: "Jastrow, יָמִים"... OK (ימים)
